All Subtype,LumA,LumB,Her2,Basal,Normal-like
ENSG00000233191.2,ENSG00000175203.17,ENSG00000144535.20,ENSG00000283010.1,ENSG00000213386.3,ENSG00000099617.4
ENSG00000116918.15,ENSG00000116918.15,ENSG00000268362.6,ENSG00000175203.17,ENSG00000165714.11,ENSG00000269696.2
ENSG00000198736.12,ENSG00000175166.17,ENSG00000234842.1,ENSG00000259719.6,ENSG00000197933.13,ENSG00000180861.9
ENSG00000160710.17,ENSG00000069345.12,ENSG00000105202.9,ENSG00000238311.1,ENSG00000075303.13,ENSG00000272656.1
ENSG00000170571.12,ENSG00000163159.14,ENSG00000006712.15,ENSG00000279985.1,ENSG00000111667.14,ENSG00000288062.1
ENSG00000178691.11,ENSG00000104976.12,ENSG00000112293.15,ENSG00000141449.15,ENSG00000166226.13,ENSG00000254634.4
ENSG00000106052.13,ENSG00000243429.1,ENSG00000232353.5,ENSG00000286951.1,ENSG00000111785.21,ENSG00000198003.12
ENSG00000180979.10,ENSG00000176978.14,ENSG00000188997.8,ENSG00000234818.1,ENSG00000187242.6,ENSG00000176732.7
ENSG00000220848.5,ENSG00000117984.15,ENSG00000212664.5,ENSG00000115474.7,ENSG00000100372.15,ENSG00000231964.1
ENSG00000135540.11,ENSG00000105732.13,ENSG00000158062.20,ENSG00000268062.1,ENSG00000159131.17,ENSG00000287673.1
ENSG00000244459.2,ENSG00000079459.13,ENSG00000167984.18,ENSG00000196586.16,ENSG00000109674.4,ENSG00000272872.1
ENSG00000078699.22,ENSG00000249425.1,ENSG00000113070.8,ENSG00000163159.14,ENSG00000214046.9,ENSG00000126861.5
ENSG00000219507.4,ENSG00000143947.14,ENSG00000148288.13,ENSG00000214552.4,ENSG00000280194.1,ENSG00000153292.16
ENSG00000164190.19,ENSG00000232888.4,ENSG00000153066.13,ENSG00000143393.16,ENSG00000127526.15,ENSG00000161202.20
ENSG00000111667.14,ENSG00000139192.12,ENSG00000268350.7,ENSG00000186496.12,ENSG00000225107.1,ENSG00000142657.21
ENSG00000053770.12,ENSG00000172197.11,ENSG00000130560.9,ENSG00000281593.1,ENSG00000100225.18,ENSG00000285813.1
ENSG00000156504.16,ENSG00000124444.16,ENSG00000257194.2,ENSG00000175105.8,ENSG00000249201.2,ENSG00000180198.16
ENSG00000005889.16,ENSG00000189114.8,ENSG00000176978.14,ENSG00000263001.7,ENSG00000095059.16,ENSG00000286613.1
ENSG00000232888.4,ENSG00000161031.13,ENSG00000103363.15,ENSG00000036530.9,ENSG00000171262.11,ENSG00000286657.1
ENSG00000166226.13,ENSG00000171360.4,ENSG00000131469.15,ENSG00000207631.1,ENSG00000136636.13,ENSG00000226763.5
ENSG00000162695.12,ENSG00000155438.12,ENSG00000160999.10,ENSG00000120341.18,ENSG00000183354.12,ENSG00000258045.2
ENSG00000253438.4,ENSG00000175832.13,ENSG00000063177.13,ENSG00000206625.1,ENSG00000117602.13,ENSG00000263727.1
ENSG00000081870.12,ENSG00000164308.17,ENSG00000115648.14,ENSG00000187045.19,ENSG00000121644.19,ENSG00000273098.3
ENSG00000111785.21,ENSG00000196517.13,ENSG00000197540.8,ENSG00000278702.1,ENSG00000222429.1,ENSG00000164418.21
ENSG00000121741.16,ENSG00000171262.11,ENSG00000179151.13,ENSG00000261488.1,ENSG00000135945.10,ENSG00000259337.4
ENSG00000021776.11,ENSG00000117602.13,ENSG00000287178.1,ENSG00000186976.15,ENSG00000171469.11,ENSG00000176124.15
ENSG00000238088.1,ENSG00000077312.9,ENSG00000124574.15,ENSG00000248243.1,ENSG00000211460.12,ENSG00000267612.1
ENSG00000225416.1,ENSG00000234797.5,ENSG00000260912.1,ENSG00000285697.1,ENSG00000237943.7,ENSG00000222808.1
ENSG00000232876.1,ENSG00000116209.12,ENSG00000100823.12,ENSG00000232489.1,ENSG00000104343.21,ENSG00000265222.1
ENSG00000100372.15,ENSG00000134283.18,ENSG00000122877.16,ENSG00000181616.9,ENSG00000285077.2,ENSG00000283365.1
ENSG00000139921.13,ENSG00000100575.14,ENSG00000275074.2,ENSG00000118702.9,ENSG00000253327.2,ENSG00000249741.2
ENSG00000232721.2,ENSG00000267573.1,ENSG00000266767.1,ENSG00000250820.1,ENSG00000169894.18,ENSG00000241229.3
ENSG00000171360.4,ENSG00000130427.3,ENSG00000176915.15,ENSG00000233549.2,ENSG00000273287.2,ENSG00000084110.11
ENSG00000133318.14,ENSG00000198794.12,ENSG00000149100.13,ENSG00000257337.7,ENSG00000173542.9,ENSG00000280587.1
ENSG00000102984.15,ENSG00000149196.16,ENSG00000177000.13,ENSG00000226086.5,ENSG00000198056.15,ENSG00000224594.2
ENSG00000166478.10,ENSG00000172809.13,ENSG00000239470.3,ENSG00000223770.5,ENSG00000276984.1,ENSG00000160752.15
ENSG00000181826.10,ENSG00000267421.6,ENSG00000142233.14,ENSG00000082497.12,ENSG00000285852.1,ENSG00000152433.15
ENSG00000155561.15,ENSG00000230223.8,ENSG00000168028.14,ENSG00000179455.10,ENSG00000167005.14,ENSG00000231652.2
ENSG00000175387.16,ENSG00000010626.15,ENSG00000273888.1,ENSG00000101210.13,ENSG00000058063.16,ENSG00000238097.2
ENSG00000198718.13,ENSG00000090661.12,ENSG00000218806.2,ENSG00000275287.5,ENSG00000158615.9,ENSG00000008226.20
ENSG00000280194.1,ENSG00000211679.2,ENSG00000234711.1,ENSG00000285568.1,ENSG00000115568.16,ENSG00000165182.12
ENSG00000279243.3,ENSG00000136425.14,ENSG00000183508.5,ENSG00000224914.4,ENSG00000171823.7,ENSG00000259441.2
ENSG00000127526.15,ENSG00000227218.7,ENSG00000285724.2,ENSG00000215790.8,ENSG00000118217.6,ENSG00000182247.10
ENSG00000054267.22,ENSG00000100387.9,ENSG00000179981.11,ENSG00000054267.22,ENSG00000143742.14,ENSG00000270755.1
ENSG00000197147.15,ENSG00000170836.12,ENSG00000102984.15,ENSG00000264037.1,ENSG00000181222.19,ENSG00000232539.1
ENSG00000174606.14,ENSG00000115268.10,ENSG00000112357.14,ENSG00000239021.1,ENSG00000163291.14,ENSG00000276261.1
ENSG00000111011.18,ENSG00000151131.11,ENSG00000236801.1,ENSG00000248468.2,ENSG00000147894.17,ENSG00000175311.7
ENSG00000196517.13,ENSG00000227477.1,ENSG00000105640.13,ENSG00000234751.1,ENSG00000162851.8,ENSG00000257270.1
ENSG00000270069.1,ENSG00000260312.1,ENSG00000267270.6,ENSG00000269560.1,ENSG00000113569.16,ENSG00000180458.2
ENSG00000136636.13,ENSG00000113269.14,ENSG00000277367.1,ENSG00000279361.1,ENSG00000271122.1,ENSG00000253039.1
ENSG00000182919.15,ENSG00000076928.18,ENSG00000225205.5,ENSG00000225083.2,ENSG00000175305.17,ENSG00000232907.8
ENSG00000171262.11,ENSG00000166265.13,ENSG00000170348.9,ENSG00000162458.13,ENSG00000163320.12,ENSG00000074803.20
ENSG00000235893.5,ENSG00000226918.1,ENSG00000174373.16,ENSG00000263503.1,ENSG00000096063.16,ENSG00000189316.3
ENSG00000077312.9,ENSG00000174165.8,ENSG00000272669.1,ENSG00000218986.1,ENSG00000147687.19,ENSG00000185988.15
ENSG00000183475.13,ENSG00000104980.8,ENSG00000235096.2,ENSG00000171533.11,ENSG00000198429.10,ENSG00000263826.1
ENSG00000009844.16,ENSG00000104853.16,ENSG00000139405.16,ENSG00000248738.6,ENSG00000113384.14,ENSG00000255503.1
ENSG00000180957.18,ENSG00000223786.1,ENSG00000204620.3,ENSG00000213411.2,ENSG00000129534.14,ENSG00000286863.1
ENSG00000273174.1,ENSG00000170604.5,ENSG00000239001.1,ENSG00000237641.1,ENSG00000166164.16,ENSG00000252917.1
ENSG00000119397.17,ENSG00000198133.8,ENSG00000142676.14,ENSG00000264714.1,ENSG00000124370.11,ENSG00000279328.1
ENSG00000255063.1,ENSG00000129518.9,ENSG00000274605.2,ENSG00000163141.20,ENSG00000165568.18,ENSG00000269980.1
ENSG00000136044.12,ENSG00000158796.17,ENSG00000187699.10,ENSG00000277952.1,ENSG00000046604.13,ENSG00000155495.9
ENSG00000135945.10,ENSG00000105767.3,ENSG00000170345.10,ENSG00000139144.11,ENSG00000280132.1,ENSG00000225365.1
ENSG00000242540.3,ENSG00000105341.19,ENSG00000217060.1,ENSG00000147206.17,ENSG00000119969.15,ENSG00000261342.1
ENSG00000243829.1,ENSG00000211677.2,ENSG00000080371.6,ENSG00000282390.1,ENSG00000119396.11,ENSG00000285549.1
