gene,threshold,JSD,size_le,size_he
ENSG00000000003.15,0.119533,0.1324645151291773,415.0,4.0
ENSG00000000005.6,0.008229,0.6931471349209468,418.0,1.0
ENSG00000000419.13,0.00644,0.6931471349209468,1.0,418.0
ENSG00000000457.14,0.003886,0.6931471349209466,1.0,418.0
ENSG00000000460.17,0.01289,0.09571532755763343,386.0,33.0
ENSG00000000938.13,0.001762,0.17817744522499945,19.0,400.0
ENSG00000000971.16,0.002828,0.24243568231266105,2.0,417.0
ENSG00000001036.14,0.059881,0.1016418699058447,413.0,6.0
ENSG00000001084.13,0.141883,0.1659060523778814,416.0,3.0
ENSG00000001167.14,0.043719,0.10119953398058171,324.0,95.0
ENSG00000001460.18,0.021709,0.2424356823126611,417.0,2.0
ENSG00000001461.17,0.004676,0.6931471349209467,1.0,418.0
ENSG00000001497.18,0.093949,0.24243568231266105,417.0,2.0
ENSG00000001561.7,0.003667,0.10857758373444931,16.0,403.0
ENSG00000001617.12,0.021888,0.11367231333654317,5.0,414.0
ENSG00000001626.16,0.007098,0.24243568231266108,417.0,2.0
ENSG00000001629.10,0.12947,0.1068117863347222,408.0,11.0
ENSG00000001630.17,0.000235,0.12685722869523672,29.0,390.0
ENSG00000001631.16,0.006735,0.10958949026728323,362.0,57.0
ENSG00000002016.18,0.012831,0.10935540945031241,398.0,21.0
ENSG00000002079.14,0.00029,0.11387709043438982,385.0,34.0
ENSG00000002330.14,0.001674,0.11307459182444542,15.0,404.0
ENSG00000002549.12,0.040394,0.14666237578069702,37.0,382.0
ENSG00000002586.20,0.012902,0.24243568231266105,2.0,417.0
ENSG00000002586.20_PAR_Y,,-inf,,
ENSG00000002587.10,0.000601,0.19437158042262573,5.0,414.0
ENSG00000002726.21,1.2e-05,0.24161582475442175,6.0,413.0
ENSG00000002745.13,0.001372,0.1324645151291773,415.0,4.0
ENSG00000002746.15,1.3e-05,0.1659060523778814,3.0,416.0
ENSG00000002822.15,2e-05,0.1324645151291773,4.0,415.0
