gene,threshold_All,pvalue_All,ks_statistic_All,size_le,size_he
ENSG00000000003.15,0.014024,0.4321,0.0733,172.0,653.0
ENSG00000000005.6,2.5e-05,0.5868,0.064,180.0,645.0
ENSG00000000419.13,0.004873,0.0533,0.9745,1.0,824.0
ENSG00000000457.14,0.001044,0.0436,0.9794,1.0,824.0
ENSG00000000460.17,0.000829,0.0436,0.9794,1.0,824.0
ENSG00000000938.13,0.001762,0.0457,0.1626,76.0,749.0
ENSG00000000971.16,0.002828,0.1997,0.3108,11.0,814.0
ENSG00000001036.14,0.075081,0.3663,0.3271,818.0,7.0
ENSG00000001084.13,0.003264,0.0436,0.9794,1.0,824.0
ENSG00000001167.14,0.004559,0.0436,0.9794,1.0,824.0
ENSG00000001460.18,0.016882,0.3214,0.1946,802.0,23.0
ENSG00000001461.17,0.004676,0.2253,0.4805,4.0,821.0
ENSG00000001497.18,0.025442,0.1684,0.0887,202.0,623.0
ENSG00000001561.7,0.000391,0.0436,0.9794,1.0,824.0
ENSG00000001617.12,0.046948,0.1588,0.0792,322.0,503.0
ENSG00000001626.16,3.3e-05,0.6197,0.0696,134.0,691.0
ENSG00000001629.10,0.004257,0.0436,0.9794,1.0,824.0
ENSG00000001630.17,0.000774,0.3733,0.0656,289.0,536.0
ENSG00000001631.16,0.003753,0.2484,0.07,422.0,403.0
ENSG00000002016.18,0.000728,0.2767,0.5268,3.0,822.0
ENSG00000002079.14,3.4e-05,0.8563,0.0611,106.0,719.0
ENSG00000002330.14,0.003649,0.2037,0.0756,313.0,512.0
ENSG00000002549.12,0.043796,0.0829,0.1138,145.0,680.0
ENSG00000002586.20,0.009985,0.0145,0.9939,1.0,824.0
ENSG00000002586.20_PAR_Y,,inf,-inf,,
ENSG00000002587.10,0.002485,0.1392,0.0794,396.0,429.0
ENSG00000002726.21,4.7e-05,0.0756,0.188,47.0,778.0
ENSG00000002745.13,9.5e-05,0.8203,0.0531,656.0,169.0
ENSG00000002746.15,6.4e-05,0.622,0.0823,89.0,736.0
ENSG00000002822.15,0.00011,0.1517,0.0862,236.0,589.0
ENSG00000002834.18,0.113423,0.0531,0.1011,248.0,577.0
ENSG00000002919.15,0.004876,0.0449,0.5287,6.0,819.0
ENSG00000002933.9,0.009741,0.2014,0.0858,200.0,625.0
ENSG00000003056.8,0.006173,0.57,0.2074,13.0,812.0
ENSG00000003096.14,0.008985,0.5323,0.0774,703.0,122.0
ENSG00000003137.8,0.001861,0.3794,0.0628,362.0,463.0
ENSG00000003147.19,0.018922,0.3172,0.074,222.0,603.0
ENSG00000003249.15,0.001745,0.8536,0.3127,3.0,822.0
ENSG00000003393.15,0.002857,0.0014,0.9757,2.0,823.0
ENSG00000003400.15,0.000914,0.0579,0.4474,8.0,817.0
ENSG00000003402.20,0.0236,0.1216,0.1299,90.0,735.0
ENSG00000003436.16,0.035943,0.2595,0.1493,779.0,46.0
ENSG00000003509.16,0.002108,0.0009,0.9806,2.0,823.0
ENSG00000003756.17,0.034238,0.0741,0.0883,403.0,422.0
ENSG00000003987.14,0.000699,0.1106,0.0833,364.0,461.0
ENSG00000003989.18,0.145448,0.2507,0.0746,558.0,267.0
ENSG00000004059.11,0.012883,0.1591,0.5912,3.0,822.0
ENSG00000004139.14,0.001872,0.0451,0.096,347.0,478.0
ENSG00000004142.12,0.039454,0.5745,0.0863,87.0,738.0
ENSG00000004399.13,0.148349,0.7376,0.0635,693.0,132.0
ENSG00000004455.17,0.05168,0.1646,0.0981,155.0,670.0
ENSG00000004468.13,0.000727,0.1954,0.0816,238.0,587.0
ENSG00000004478.8,0.032774,0.2634,0.2789,12.0,813.0
ENSG00000004487.17,0.017144,0.0121,0.9951,1.0,824.0
ENSG00000004534.15,0.036551,0.1107,0.0831,373.0,452.0
ENSG00000004660.15,0.003755,0.3917,0.0771,164.0,661.0
ENSG00000004700.16,0.043955,0.4321,0.1894,805.0,20.0
ENSG00000004766.17,0.002175,0.0436,0.9794,1.0,824.0
ENSG00000004776.13,7.2e-05,0.7038,0.1185,34.0,791.0
ENSG00000004777.18,0.007057,0.1862,0.0766,500.0,325.0
ENSG00000004779.10,0.057781,0.5149,0.11,769.0,56.0
ENSG00000004799.8,0.000179,0.0218,0.9903,1.0,824.0
ENSG00000004809.14,0.005345,0.2642,0.8689,824.0,1.0
ENSG00000004838.14,8.2e-05,0.0349,0.478,8.0,817.0
ENSG00000004846.16,0.007279,0.3279,0.4379,821.0,4.0
ENSG00000004848.8,1e-05,0.815,0.0557,151.0,674.0
ENSG00000004864.14,0.088184,0.0703,0.966,824.0,1.0
ENSG00000004866.22,0.009776,0.1523,0.1039,139.0,686.0
ENSG00000004897.12,0.097921,0.4,0.1348,781.0,44.0
ENSG00000004939.15,2.8e-05,0.8336,0.0466,585.0,240.0
ENSG00000004948.16,0.000147,0.7348,0.0468,429.0,396.0
ENSG00000004961.15,0.024115,0.617,0.0962,762.0,63.0
ENSG00000004975.12,0.01088,0.0891,0.1128,144.0,681.0
ENSG00000005001.10,0.015273,0.3976,0.1025,744.0,81.0
ENSG00000005007.13,0.019467,0.0119,0.9247,2.0,823.0
ENSG00000005020.13,0.000836,0.1067,0.9478,1.0,824.0
ENSG00000005022.6,0.180266,0.5491,0.081,719.0,106.0
ENSG00000005059.16,0.055958,0.0703,0.966,824.0,1.0
ENSG00000005073.6,4e-05,0.6823,0.1147,38.0,787.0
ENSG00000005075.15,0.018429,0.4558,0.0604,514.0,311.0
ENSG00000005100.13,0.004252,0.0449,0.5287,6.0,819.0
ENSG00000005102.14,0.000241,0.0622,0.1269,123.0,702.0
ENSG00000005108.16,0.003303,0.4889,0.0583,496.0,329.0
ENSG00000005156.12,0.020753,0.5362,0.0585,271.0,554.0
ENSG00000005175.10,0.005113,0.0,0.9769,3.0,822.0
ENSG00000005187.12,0.000108,0.0399,0.8603,2.0,823.0
ENSG00000005189.20,0.00212,0.4975,0.0908,89.0,736.0
ENSG00000005194.15,0.098923,0.1018,0.9502,824.0,1.0
ENSG00000005206.17,0.011401,0.1509,0.0972,166.0,659.0
ENSG00000005238.20,0.006746,0.5299,0.096,74.0,751.0
ENSG00000005243.10,0.067764,0.0436,0.9794,824.0,1.0
ENSG00000005249.13,0.000601,0.0215,0.8979,2.0,823.0
ENSG00000005302.19,0.016032,0.5786,0.0548,315.0,510.0
ENSG00000005339.15,0.020742,0.1558,0.2917,14.0,811.0
ENSG00000005379.17,0.002957,0.1892,0.1097,109.0,716.0
ENSG00000005381.8,0.002645,0.7006,0.4441,823.0,2.0
ENSG00000005421.9,1e-05,0.6811,0.0641,145.0,680.0
ENSG00000005436.14,0.00161,0.0044,0.955,2.0,823.0
ENSG00000005448.17,0.00386,0.1594,0.1054,131.0,694.0
ENSG00000005469.12,0.003864,0.0451,0.1612,78.0,747.0
ENSG00000005471.19,0.000947,0.1863,0.0768,318.0,507.0
ENSG00000005483.21,0.003884,0.0436,0.9794,1.0,824.0
ENSG00000005486.17,0.036972,0.1347,0.0976,175.0,650.0
ENSG00000005513.10,7e-05,0.5218,0.1223,44.0,781.0
ENSG00000005700.15,0.020405,0.3265,0.1034,91.0,734.0
ENSG00000005801.18,0.010593,0.0949,0.0949,228.0,597.0
ENSG00000005810.18,0.00672,0.2212,0.3517,8.0,817.0
ENSG00000005812.11,0.005173,0.1518,0.4053,7.0,818.0
ENSG00000005844.19,0.000429,0.1067,0.9478,1.0,824.0
ENSG00000005882.12,0.012482,0.3451,0.0641,404.0,421.0
ENSG00000005884.18,0.026648,0.1503,0.0919,195.0,630.0
ENSG00000005889.16,0.006169,0.0009,0.9806,2.0,823.0
ENSG00000005893.16,0.591129,0.0703,0.966,824.0,1.0
ENSG00000005961.19,0.00015,0.1604,0.1001,149.0,676.0
ENSG00000005981.13,0.000395,0.9718,0.0572,752.0,73.0
ENSG00000006007.12,0.058254,0.3665,0.0633,454.0,371.0
ENSG00000006015.18,0.000473,0.0024,1.0,1.0,824.0
ENSG00000006016.11,0.028515,0.2337,0.2998,814.0,11.0
ENSG00000006025.12,0.008681,0.1908,0.0837,602.0,223.0
ENSG00000006042.12,0.007029,0.2159,0.1134,94.0,731.0
ENSG00000006047.13,0.001615,0.2817,0.0784,205.0,620.0
ENSG00000006059.4,0.010519,0.063,0.9697,824.0,1.0
ENSG00000006062.17,0.000889,0.1552,0.9235,1.0,824.0
ENSG00000006071.15,0.001122,0.4343,0.0641,260.0,565.0
ENSG00000006116.4,1.4e-05,0.775,0.0794,754.0,71.0
ENSG00000006118.15,0.038002,0.7661,0.0458,375.0,450.0
ENSG00000006125.18,0.224852,0.376,0.0625,432.0,393.0
ENSG00000006128.12,3.5e-05,0.5562,0.0565,294.0,531.0
ENSG00000006194.10,0.020793,0.3091,0.0718,253.0,572.0
ENSG00000006210.7,0.027088,0.5638,0.055,496.0,329.0
ENSG00000006282.21,0.013208,0.1457,0.1042,141.0,684.0
ENSG00000006283.18,0.000565,0.4512,0.06,494.0,331.0
ENSG00000006327.14,0.003275,0.4285,0.2518,11.0,814.0
ENSG00000006377.11,9e-06,0.0866,0.104,181.0,644.0
ENSG00000006432.15,0.000686,0.0436,0.9794,1.0,824.0
ENSG00000006451.8,0.0403,0.4542,0.065,234.0,591.0
ENSG00000006453.14,0.006286,0.368,0.1497,37.0,788.0
ENSG00000006459.11,0.360606,0.0703,0.966,824.0,1.0
ENSG00000006468.14,0.000923,0.2446,0.2841,12.0,813.0
ENSG00000006530.18,0.019469,0.4469,0.0606,507.0,318.0
ENSG00000006534.16,0.035037,0.3525,0.2321,810.0,15.0
ENSG00000006555.11,1e-05,0.2303,0.8859,1.0,824.0
ENSG00000006576.16,0.011448,0.0376,0.1542,91.0,734.0
ENSG00000006606.9,0.000149,0.2644,0.0702,491.0,334.0
ENSG00000006607.14,0.00461,0.1765,0.461,5.0,820.0
ENSG00000006611.17,0.00014,0.7515,0.0515,598.0,227.0
ENSG00000006625.18,0.011348,0.4956,0.0987,75.0,750.0
ENSG00000006634.8,0.001633,0.0436,0.9794,1.0,824.0
ENSG00000006638.13,0.006354,0.0436,0.9794,824.0,1.0
ENSG00000006652.15,0.090934,0.0703,0.966,824.0,1.0
ENSG00000006659.13,8e-06,0.5264,0.056,468.0,357.0
ENSG00000006695.12,0.002557,0.2767,0.5268,3.0,822.0
ENSG00000006704.11,0.026945,0.5359,0.0581,546.0,279.0
ENSG00000006712.15,0.049443,0.0698,0.0905,483.0,342.0
ENSG00000006715.16,0.010747,0.5141,0.1968,16.0,809.0
ENSG00000006740.17,0.001516,0.4089,0.0779,154.0,671.0
ENSG00000006744.19,0.007524,0.1552,0.9235,1.0,824.0
ENSG00000006747.15,7.5e-05,0.1139,0.9442,1.0,824.0
ENSG00000006756.16,0.036534,0.1769,0.0837,235.0,590.0
ENSG00000006757.12,0.000456,0.0703,0.966,1.0,824.0
ENSG00000006788.14,0.000371,0.161,0.0863,598.0,227.0
ENSG00000006831.10,0.015885,0.0,0.9769,3.0,822.0
ENSG00000006837.12,0.000199,0.4601,0.0633,253.0,572.0
ENSG00000007001.13,0.005721,0.0703,0.966,824.0,1.0
ENSG00000007038.11,4.9e-05,0.4739,0.0788,131.0,694.0
ENSG00000007047.15,0.017169,0.2244,0.0903,161.0,664.0
ENSG00000007062.12,0.0,0.2085,0.8968,1.0,824.0
ENSG00000007080.11,0.005136,0.0577,0.3238,16.0,809.0
ENSG00000007129.18,0.000204,0.2812,0.1068,93.0,732.0
ENSG00000007168.14,0.017723,0.2767,0.5268,3.0,822.0
ENSG00000007171.18,0.014168,0.541,0.4903,823.0,2.0
ENSG00000007174.18,0.000182,0.2786,0.0681,412.0,413.0
ENSG00000007202.15,0.064891,0.2325,0.0768,257.0,568.0
ENSG00000007216.15,0.126978,0.1115,0.9454,824.0,1.0
