gene,threshold,JSD,size_le,size_he
ENSG00000000003.15,0.02228,0.10013896905411407,361.0,464.0
ENSG00000000005.6,9.2e-05,0.09720389040764096,379.0,446.0
ENSG00000000419.13,0.020817,0.09860495570903405,356.0,469.0
ENSG00000000457.14,0.01399,0.09811076163866034,330.0,495.0
ENSG00000000460.17,0.006054,0.09555425329888324,353.0,472.0
ENSG00000000938.13,0.003753,0.10154812230173102,331.0,494.0
ENSG00000000971.16,0.022249,0.10090727819889142,330.0,495.0
ENSG00000001036.14,0.023135,0.09508047329767808,398.0,427.0
ENSG00000001084.13,0.017046,0.09812737597388768,330.0,495.0
ENSG00000001167.14,0.027556,0.09553384115699395,345.0,480.0
ENSG00000001460.18,0.005935,0.10051681390094772,330.0,495.0
ENSG00000001461.17,0.023144,0.09972011030702511,343.0,482.0
ENSG00000001497.18,0.02922,0.09995953475513122,330.0,495.0
ENSG00000001561.7,0.011721,0.10038473188985586,332.0,493.0
ENSG00000001617.12,0.050413,0.09847984013593723,345.0,480.0
ENSG00000001626.16,9.7e-05,0.09790729478537133,333.0,492.0
ENSG00000001629.10,0.04187,0.09743284091700669,335.0,490.0
ENSG00000001630.17,0.000908,0.10103094056436979,347.0,478.0
ENSG00000001631.16,0.003278,0.10108652147669336,330.0,495.0
ENSG00000002016.18,0.004842,0.09706891478497301,375.0,450.0
ENSG00000002079.14,7.6e-05,0.09936952841335178,331.0,494.0
ENSG00000002330.14,0.003795,0.09913540266234053,331.0,494.0
ENSG00000002549.12,0.063784,0.10335858171518796,330.0,495.0
ENSG00000002586.20,0.09915,0.09693741283212301,445.0,380.0
ENSG00000002586.20_PAR_Y,,-inf,,
ENSG00000002587.10,0.002216,0.10044165451452589,336.0,489.0
ENSG00000002726.21,0.000422,0.09945476959897341,471.0,354.0
ENSG00000002745.13,2.7e-05,0.09849410729770058,335.0,490.0
ENSG00000002746.15,0.00019,0.09641123813835872,330.0,495.0
ENSG00000002822.15,0.000134,0.10375394194109128,334.0,491.0
ENSG00000002834.18,0.136337,0.10071495751219794,330.0,495.0
ENSG00000002919.15,0.018963,0.09880184962248881,494.0,331.0
ENSG00000002933.9,0.013696,0.10123161107158257,330.0,495.0
ENSG00000003056.8,0.038185,0.09787210322925474,339.0,486.0
ENSG00000003096.14,0.00286,0.09536833299142608,436.0,389.0
ENSG00000003137.8,0.001687,0.10051681390094772,330.0,495.0
ENSG00000003147.19,0.024608,0.09926161388256034,339.0,486.0
ENSG00000003249.15,0.019651,0.09671170723961223,402.0,423.0
ENSG00000003393.15,0.018765,0.09702349599507429,380.0,445.0
