gene,threshold_LumB,pvalue_LumB,ks_statistic_LumB,size_le,size_he
ENSG00000000003.15,0.016625,0.3327,0.1389,78.0,98.0
ENSG00000000005.6,2.4e-05,0.5849,0.1217,54.0,122.0
ENSG00000000419.13,0.015737,0.0533,0.3487,15.0,161.0
ENSG00000000457.14,0.015733,0.5186,0.1206,71.0,105.0
ENSG00000000460.17,0.007879,0.8933,0.0837,77.0,99.0
ENSG00000000938.13,0.001202,0.1058,0.4413,7.0,169.0
ENSG00000000971.16,0.064954,0.1532,0.4412,170.0,6.0
ENSG00000001036.14,0.01556,0.0708,0.3174,17.0,159.0
ENSG00000001084.13,0.006817,0.0795,0.9657,1.0,175.0
ENSG00000001167.14,0.015576,0.0037,0.5458,10.0,166.0
ENSG00000001460.18,0.007023,0.4362,0.1264,93.0,83.0
ENSG00000001461.17,0.029451,0.4092,0.1318,106.0,70.0
ENSG00000001497.18,0.027587,0.0993,0.2043,46.0,130.0
ENSG00000001561.7,0.005328,0.1227,0.3,16.0,160.0
ENSG00000001617.12,0.061589,0.0343,0.2121,77.0,99.0
ENSG00000001626.16,3.6e-05,0.5418,0.1289,50.0,126.0
ENSG00000001629.10,0.01879,0.0575,0.6221,4.0,172.0
ENSG00000001630.17,0.001155,0.2259,0.1542,80.0,96.0
ENSG00000001631.16,0.00318,0.1399,0.1776,59.0,117.0
ENSG00000002016.18,0.006216,0.385,0.1335,102.0,74.0
ENSG00000002079.14,3.4e-05,0.0658,0.2736,25.0,151.0
ENSG00000002330.14,0.001105,0.0662,0.6105,4.0,172.0
ENSG00000002549.12,0.062065,0.1287,0.1912,49.0,127.0
ENSG00000002586.20,0.231192,0.1364,0.9371,175.0,1.0
ENSG00000002586.20_PAR_Y,,inf,-inf,,
ENSG00000002587.10,0.002404,0.2261,0.1542,100.0,76.0
ENSG00000002726.21,0.123337,0.0114,1.0,175.0,1.0
ENSG00000002745.13,0.00014,0.189,0.4596,171.0,5.0
ENSG00000002746.15,0.00274,0.0086,0.9425,174.0,2.0
ENSG00000002822.15,0.000114,0.2934,0.1524,57.0,119.0
ENSG00000002834.18,0.117474,0.2925,0.1615,48.0,128.0
ENSG00000002919.15,0.067297,0.1023,0.9543,175.0,1.0
ENSG00000002933.9,0.007706,0.4562,0.1406,48.0,128.0
ENSG00000003056.8,0.04436,0.3566,0.1361,78.0,98.0
ENSG00000003096.14,0.00058,0.6475,0.1424,29.0,147.0
ENSG00000003137.8,0.000414,0.9174,0.1743,9.0,167.0
ENSG00000003147.19,0.035281,0.2657,0.1496,104.0,72.0
ENSG00000003249.15,0.018106,0.259,0.1688,45.0,131.0
ENSG00000003393.15,0.010576,0.3183,0.2334,17.0,159.0
ENSG00000003400.15,0.005287,0.1439,0.1682,93.0,83.0
ENSG00000003402.20,0.018615,0.3084,0.2976,10.0,166.0
ENSG00000003436.16,0.022847,0.6987,0.1797,161.0,15.0
ENSG00000003509.16,0.004395,0.3004,0.2584,14.0,162.0
ENSG00000003756.17,0.022027,0.0172,0.3134,27.0,149.0
ENSG00000003987.14,0.00112,0.1901,0.1589,92.0,84.0
ENSG00000003989.18,0.463856,0.5636,0.1742,155.0,21.0
ENSG00000004059.11,0.019257,0.0273,0.8908,2.0,174.0
ENSG00000004139.14,0.000665,0.0546,0.3841,12.0,164.0
ENSG00000004142.12,0.088262,0.1007,0.1796,92.0,84.0
ENSG00000004399.13,0.020971,0.1705,0.92,1.0,175.0
ENSG00000004455.17,0.083911,0.0329,0.2168,108.0,68.0
ENSG00000004468.13,0.000727,0.0425,0.2168,58.0,118.0
ENSG00000004478.8,0.095154,0.4772,0.2125,16.0,160.0
ENSG00000004487.17,0.06014,0.1466,0.1683,79.0,97.0
ENSG00000004534.15,0.024596,0.0033,0.3682,26.0,150.0
ENSG00000004660.15,0.004065,0.1305,0.2044,40.0,136.0
ENSG00000004700.16,0.022558,0.6782,0.1099,118.0,58.0
ENSG00000004766.17,0.009265,0.1653,0.3333,11.0,165.0
ENSG00000004776.13,0.003127,0.0575,0.6221,172.0,4.0
ENSG00000004777.18,0.001972,0.0319,0.494,8.0,168.0
ENSG00000004779.10,0.035164,0.6852,0.1044,75.0,101.0
ENSG00000004799.8,0.013461,0.774,0.0966,103.0,73.0
ENSG00000004809.14,7.1e-05,0.793,0.1024,124.0,52.0
ENSG00000004838.14,0.001831,0.0255,0.3318,21.0,155.0
ENSG00000004846.16,0.00039,0.4174,0.2337,162.0,14.0
ENSG00000004848.8,0.000213,0.8775,0.0864,107.0,69.0
ENSG00000004864.14,0.043074,0.7652,0.2772,171.0,5.0
ENSG00000004866.22,0.006044,0.0273,0.8908,2.0,174.0
ENSG00000004897.12,0.03283,0.4863,0.1472,38.0,138.0
ENSG00000004939.15,5.3e-05,0.8357,0.1294,152.0,24.0
ENSG00000004948.16,0.011398,0.7662,0.4253,174.0,2.0
ENSG00000004961.15,0.00586,0.0273,0.8908,2.0,174.0
ENSG00000004975.12,0.004065,0.0114,1.0,1.0,175.0
ENSG00000005001.10,0.008066,0.4528,0.1316,116.0,60.0
ENSG00000005007.13,0.091046,0.0358,0.211,101.0,75.0
ENSG00000005020.13,0.007836,0.5221,0.1515,33.0,143.0
ENSG00000005022.6,0.068217,0.4916,0.3895,4.0,172.0
ENSG00000005059.16,0.012225,0.2899,0.1432,86.0,90.0
ENSG00000005073.6,2e-05,0.0971,0.6435,3.0,173.0
ENSG00000005075.15,0.011422,0.1991,0.2281,24.0,152.0
ENSG00000005100.13,0.009822,0.429,0.1867,23.0,153.0
ENSG00000005102.14,0.000163,0.1598,0.2178,30.0,146.0
ENSG00000005108.16,0.003835,0.86,0.108,141.0,35.0
ENSG00000005156.12,0.017667,0.1054,0.254,25.0,151.0
ENSG00000005175.10,0.07572,0.2727,0.8686,175.0,1.0
ENSG00000005187.12,0.000171,0.2386,0.8857,1.0,175.0
ENSG00000005189.20,0.001778,0.5693,0.3663,4.0,172.0
ENSG00000005194.15,0.034625,0.481,0.1415,133.0,43.0
ENSG00000005206.17,0.007888,0.0023,0.625,8.0,168.0
ENSG00000005238.20,0.006667,0.059,0.3545,14.0,162.0
ENSG00000005243.10,0.001581,0.536,0.3098,6.0,170.0
ENSG00000005249.13,0.000601,0.2273,0.8914,1.0,175.0
ENSG00000005302.19,0.009679,0.3764,0.234,15.0,161.0
ENSG00000005339.15,0.034437,0.0575,0.6221,4.0,172.0
ENSG00000005379.17,0.00265,0.1326,0.2478,24.0,152.0
ENSG00000005381.8,5.9e-05,0.6605,0.1055,83.0,93.0
ENSG00000005421.9,0.0,0.6427,0.1375,33.0,143.0
ENSG00000005436.14,0.001459,0.0795,0.9657,1.0,175.0
ENSG00000005448.17,0.00386,0.3769,0.2496,13.0,163.0
ENSG00000005469.12,0.003864,0.0171,0.5961,6.0,170.0
ENSG00000005471.19,0.00094,0.1657,0.1739,58.0,118.0
ENSG00000005483.21,0.021893,0.0994,0.3795,10.0,166.0
ENSG00000005486.17,0.051149,0.0721,0.197,66.0,110.0
ENSG00000005513.10,9.8e-05,0.3385,0.1732,34.0,142.0
ENSG00000005700.15,0.020405,0.0469,0.5766,5.0,171.0
ENSG00000005801.18,0.007491,0.069,0.3879,11.0,165.0
